name,rating,genre,released,country,gross,company
The Shining,R,Drama,"June 13, 1980",United Kingdom,46998772.0,Warner Bros.
The Blue Lagoon,R,Adventure,"July 2, 1980",United States,58853106.0,Columbia Pictures
Star Wars: Episode V - The Empire Strikes Back,PG,Action,"June 20, 1980",United States,538375067.0,Lucasfilm
Airplane!,PG,Comedy,"July 2, 1980",United States,83453539.0,Paramount Pictures
Caddyshack,R,Comedy,"July 25, 1980",United States,39846344.0,Orion Pictures
Friday the 13th,R,Horror,"May 9, 1980",United States,39754601.0,Paramount Pictures
The Blues Brothers,R,Action,"June 20, 1980",United States,115229890.0,Universal Pictures
Raging Bull,R,Biography,"December 19, 1980",United States,23402427.0,Chartoff-Winkler Productions
Superman II,PG,Action,"June 19, 1981",United States,108185706.0,Dovemead Films
The Long Riders,R,Biography,"May 16, 1980",United States,15795189.0,United Artists
Any Which Way You Can,PG,Action,"December 17, 1980",United States,70687344.0,The Malpaso Company
The Gods Must Be Crazy,PG,Adventure,"October 26, 1984",South Africa,30031783.0,C.A.T. Films
Popeye,PG,Adventure,"December 12, 1980",United States,49823037.0,Paramount Pictures
Ordinary People,R,Drama,"September 19, 1980",United States,54766923.0,Paramount Pictures
Dressed to Kill,R,Crime,"July 25, 1980",United States,31899000.0,Filmways Pictures
Somewhere in Time,PG,Drama,"October 3, 1980",United States,9709597.0,Rastar Pictures
Fame,R,Drama,"May 16, 1980",United States,21202829.0,Metro-Goldwyn-Mayer (MGM)
9 to 5,PG,Comedy,"December 19, 1980",United States,103300686.0,IPC Films
The Fog,R,Horror,"February 8, 1980",United States,21448782.0,AVCO Embassy Pictures
Stir Crazy,R,Comedy,"December 12, 1980",United States,101300000.0,Columbia Pictures
Cruising,R,Crime,"February 15, 1980",West Germany,19814523.0,Lorimar Film Entertainment
Heaven's Gate,R,Adventure,"April 24, 1981",United States,3484523.0,Partisan Productions
The Final Countdown,PG,Action,"August 1, 1980",United States,16647800.0,Bryna Productions
Xanadu,PG,Fantasy,"August 8, 1980",United States,22762571.0,Universal Pictures
Urban Cowboy,PG,Drama,"June 6, 1980",United States,46918287.0,Paramount Pictures
Altered States,R,Horror,"December 25, 1980",United States,19853892.0,Warner Bros.
Little Darlings,R,Comedy,"March 21, 1980",United States,34326249.0,Stephen Friedman/Kings Road Productions
Raise the Titanic,PG,Action,"August 1, 1980",United Kingdom,,ITC Films
Brubaker,R,Crime,"June 20, 1980",United States,37121708.0,Twentieth Century Fox
American Gigolo,R,Crime,"February 1, 1980",United States,22743674.0,Paramount Pictures
My Bodyguard,PG,Comedy,"September 26, 1980",United States,22482952.0,Twentieth Century Fox
Prom Night,R,Horror,"July 18, 1980",Canada,14796236.0,Guardian Trust Company
Smokey and the Bandit II,PG,Action,"August 15, 1980",United States,66132626.0,Universal Pictures
Cattle Annie and Little Britches,PG,Drama,"April 24, 1981",United States,534816.0,Cattle Annie Productions
Seems Like Old Times,PG,Comedy,"December 19, 1980",United States,43995918.0,Rastar Films
Private Benjamin,R,Comedy,"October 10, 1980",United States,69847348.0,Warner Bros.
The Hollywood Knights,R,Comedy,"May 30, 1980",United States,10000000.0,PolyGram Filmed Entertainment
Motel Hell,R,Comedy,"October 24, 1980",United States,6342668.0,Camp Hill
The Jazz Singer,PG,Drama,"December 19, 1980",United States,27118000.0,EMI Films
Coal Miner's Daughter,PG,Biography,"March 7, 1980",United States,67182787.0,Universal Pictures
The Watcher in the Woods,PG,Family,"October 9, 1981",United States,5000000.0,Walt Disney Productions
Breaker Morant,PG,Drama,"July 3, 1980",Australia,,The South Australian Film Corporation
The Stunt Man,R,Action,"June 27, 1980",United States,7063886.0,Melvin Simon Productions
Where the Buffalo Roam,R,Biography,"April 25, 1980",United States,6659377.0,Universal Pictures
The Awakening,R,Horror,"October 31, 1980",United Kingdom,8415112.0,EMI Films
Cheech and Chong's Next Movie,R,Comedy,"July 18, 1980",United States,41675194.0,Universal Pictures
The Island,R,Action,"June 13, 1980",United States,15716828.0,Universal Pictures
The Boogey Man,R,Horror,"November 7, 1980",United States,,The Jerry Gross Organization
The Nude Bomb,PG,Action,"May 9, 1980",United States,14662035.0,Universal Pictures
Lion of the Desert,PG,Biography,"May 16, 1981",Libya,,Falcon International Productions
Stardust Memories,PG,Comedy,"September 26, 1980",United States,10389003.0,Jack Rollins & Charles H. Joffe Productions
Melvin and Howard,R,Comedy,"September 19, 1980",United States,4309490.0,Universal Pictures
Can't Stop the Music,PG,Biography,"June 20, 1980",United States,,EMI Films
Bronco Billy,PG,Action,"June 11, 1980",United States,24265659.0,Warner Bros.
City of Women,R,Comedy,"April 8, 1981",Italy,12516.0,Opera Film Produzione
The Private Eyes,PG,Comedy,"November 21, 1980",United States,,Tri Star Productions
When Time Ran Out...,PG,Action,"March 28, 1980",United States,3763988.0,International Cinema
Oh Heavenly Dog,PG,Comedy,"July 11, 1980",United States,6216067.0,Mulberry Square Productions
The Octagon,R,Action,"August 15, 1980",United States,18971000.0,American Cinema Productions
Hangar 18,PG,Sci-Fi,"March 13, 1981",United States,,Sunn Classic Pictures
Herbie Goes Bananas,G,Adventure,"June 25, 1980",United States,18000000.0,Walt Disney Productions
The Competition,PG,Drama,"December 3, 1980",United States,14287755.0,Rastar Films
It's My Turn,R,Comedy,"February 5, 1981",United States,,Rastar Films
Honeysuckle Rose,PG,Drama,"July 18, 1980",United States,17815212.0,Major Studio Partners
Resurrection,PG,Drama,"September 26, 1980",United States,3910019.0,Universal Pictures
Fatso,PG,Comedy,"February 1, 1980",United States,7653061.0,Brooksfilms
Moscow Does Not Believe in Tears,PG,Comedy,"February 11, 1980",Soviet Union,,Mosfilm
The Fiendish Plot of Dr. Fu Manchu,PG,Comedy,"August 8, 1980",United States,10697276.0,Braun Entertainment Group
Serial,R,Comedy,"March 28, 1980",United States,9870727.0,Paramount Pictures
Hero at Large,PG,Comedy,"February 8, 1980",United States,15934737.0,Kings Road Entertainment
Wholly Moses!,PG,Comedy,"June 13, 1980",United States,14155617.0,Columbia Pictures
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",G,Animation,"May 30, 1980",United States,2013193.0,Lee Mendelson Film Productions
In God We Trust (or Gimme That Prime Time Religion),PG,Comedy,"September 26, 1980",United States,5215015.0,Universal Pictures
